Epoch 00009 | Validation Accuracy 70.91% | Test Accuracy 55.35%
Epoch 00019 | Validation Accuracy 81.33% | Test Accuracy 63.54%
Epoch 00029 | Validation Accuracy 85.39% | Test Accuracy 67.83%
Epoch 00039 | Validation Accuracy 87.23% | Test Accuracy 69.69%
Epoch 00049 | Validation Accuracy 88.26% | Test Accuracy 71.35%
Epoch 00059 | Validation Accuracy 89.01% | Test Accuracy 72.42%
Epoch 00069 | Validation Accuracy 89.56% | Test Accuracy 73.32%
Epoch 00079 | Validation Accuracy 89.91% | Test Accuracy 74.26%
Epoch 00089 | Validation Accuracy 90.19% | Test Accuracy 75.11%
Epoch 00099 | Validation Accuracy 90.32% | Test Accuracy 75.64%
Epoch 00109 | Validation Accuracy 90.59% | Test Accuracy 76.38%
Epoch 00119 | Validation Accuracy 90.53% | Test Accuracy 76.60%
Epoch 00129 | Validation Accuracy 90.54% | Test Accuracy 76.80%
Epoch 00139 | Validation Accuracy 90.40% | Test Accuracy 76.51%
Epoch 00149 | Validation Accuracy 90.82% | Test Accuracy 76.95%
Epoch 00159 | Validation Accuracy 90.89% | Test Accuracy 77.04%
Epoch 00169 | Validation Accuracy 90.89% | Test Accuracy 77.03%
Epoch 00179 | Validation Accuracy 91.11% | Test Accuracy 77.54%
Epoch 00189 | Validation Accuracy 91.16% | Test Accuracy 78.03%
Epoch 00199 | Validation Accuracy 91.32% | Test Accuracy 78.42%
Epoch 00209 | Validation Accuracy 91.53% | Test Accuracy 78.57%
Epoch 00219 | Validation Accuracy 91.67% | Test Accuracy 78.69%
Epoch 00229 | Validation Accuracy 91.45% | Test Accuracy 79.04%
Epoch 00239 | Validation Accuracy 91.36% | Test Accuracy 78.30%
Epoch 00249 | Validation Accuracy 91.54% | Test Accuracy 78.77%
Epoch 00259 | Validation Accuracy 91.47% | Test Accuracy 79.32%
Epoch 00269 | Validation Accuracy 91.51% | Test Accuracy 79.21%
Epoch 00279 | Validation Accuracy 91.71% | Test Accuracy 78.56%
Epoch 00289 | Validation Accuracy 91.83% | Test Accuracy 78.34%
Epoch 00299 | Validation Accuracy 91.68% | Test Accuracy 77.94%
Epoch 00309 | Validation Accuracy 91.81% | Test Accuracy 78.33%
Epoch 00319 | Validation Accuracy 91.93% | Test Accuracy 79.04%
Epoch 00329 | Validation Accuracy 91.85% | Test Accuracy 79.34%
Epoch 00339 | Validation Accuracy 91.74% | Test Accuracy 79.00%
Epoch 00349 | Validation Accuracy 91.67% | Test Accuracy 79.34%
Epoch 00359 | Validation Accuracy 91.76% | Test Accuracy 78.68%
Epoch 00369 | Validation Accuracy 91.97% | Test Accuracy 79.09%
Epoch 00379 | Validation Accuracy 91.75% | Test Accuracy 78.82%
Epoch 00389 | Validation Accuracy 91.86% | Test Accuracy 79.01%
Epoch 00399 | Validation Accuracy 91.94% | Test Accuracy 79.00%
Epoch 00409 | Validation Accuracy 91.99% | Test Accuracy 79.00%
